's Gravenbrakel	's  Gravenbrakel
Turks- en Caicoseilanden	Turks- e Caicoseilanden	Turkss- en Caicoseilanden	Toerks- en Caicoseilanden	Tijrks- en Caicoseilanden	Turksch- en Caicoseilanden	Turx- en Caicoseilanden	Turct- en Caicoseilanden	Turcz- en Caicoseilanden	Turqus- en Caicoseilanden	Turcc- en Caicoseilanden	Turccs- en Caicoseilanden	Turcs- en Caicoseilanden	Thurks- en Caicoseilanden
Tweede Kamerverkiezingen	Tweeden Kamerverkiezingen	 tweede Kamerverkiezingen	Tweede Kamerverkiezingen
Tyrreense Zee	Tyrreense Zeen
Ubach over Worms	Ubakh over Worms	Ubassh over Worms	Ubag over Worms	Oebach over Worms	IJbach over Worms
Utrechtse Heuvelrug	
Vader des Vaderlands	Vadeder Des vaderlands	Vadair Des vaderlands	Vadijr Des vaderlands	Vadder Des vaderlands	Vadërs Des vaderlands	Vadenr Des vaderlands
Valkenburg aan de Geul	Valkenburgge Aan de geul	Valkainburg Aan de geul	Valccenburg Aan de geul	Valquenburg Aan de geul	Valkenbijrg Aan de geul	Valkenburch Aan de geul	Valkenburg Aan dij geul	Valkijnburg Aan de geul	Valtjenburg Aan de geul	Vallkenburg Aan de geul	Valkenboerg Aan de geul	Valkenburg Aan den geul	Valkennburg Aan de geul	Valkenburg A-an de geul	Valkeburg Aan de geul
Vallei van Fergana	Valle-i van Fergana	Valleni van Fergana	Valllei van Fergana	Valliji van Fergana	Vallij van Fergana	Vallaii van Fergana	Vallie van Fergana
Van Acker	Van Akker	^van  Acker
Van Agt	Van Acht	^van  Agt
Van Dale	Van Dalai	Van Dalen	^van  Dale
Van Damme	Van Dammen	^van  Damme	Vandamme
Van Dyck	Van Dijck	^van  Dyck
Van Hecke	^van  Hecke
Van Heuven Goedhart	^van  Heuven Goedhart
Van Hoof	Van Hoofd	^van  hoof
Van de Velde	Van De vijlde	Van Dij velde	Van De velden	Van Den velde	^van  de velde
Van den Bossche	Van de Bossche	Van dijn Bossche	Van deden Bossche	^van  den Bossche
Van den Broeck	Van de Broeck	Van dijn Broeck	Van deden Broeck	^van  den Broeck
Venetiaanse Alpen	
Vereenigde Oost-Indische Compagnie	Vereeigde Oost-Indische Compagnie	Vere-enigde Oost-Indische Compagnie	Venreenigde Oost-Indische Compagnie	Verenenigde Oost-Indische Compagnie	Vereennigde Oost-Indische Compagnie	Vereenigden Oost-Indische Compagnie	Vërseenigde Oost-Indische Compagnie	Vereenigdde Oost-Indische Compagnie	Vijreenigde Oost-Indische Compagnie	Verijenigde Oost-Indische Compagnie	Vereijnigde Oost-Indische Compagnie	Vereenigdij Oost-Indische Compagnie	Vereenichde Oost-Indische Compagnie	Verénigde Oost-Indische Compagnie	Verënigde Oost-Indische Compagnie
Verenigd Koninkrijk	Verenigd Koninkrijk
Verre Oosten	Verrekoosten
Vincent van Gogh	Vincet van Gogh	Vincenth van Gogh	Vincennt van Gogh	Vinkent van Gogh	Vinssent van Gogh	Vincijnt van Gogh	Vincend van Gogh	Vincaint van Gogh
Vladimir Lenin	Vladimir Lein
Vladimir Poetin	
Vlakte van Jizreël	Vlakthe van Jizreël	Vlaktte van Jizreël	Vlakten van Jizreël	Vllakte van Jizreël	Vlaktij van Jizreël	Vlakde van Jizreël	Vlaxe van Jizreël	Vlaqute van Jizreël	Vlaccte van Jizreël	Vlaktai van Jizreël	Vlacte van Jizreël
Vleuten-De Meern	Vleuten-Den Meern	Vleuten-Dij Meern
Volksrepubliek China	
Vrouwe Justitia	Vrouwen Justitia
W.F. Hermans	
W.G. van de Hulst	W.gge. Van de hulst	W.ch. Van de hulst	W.g. Van dij hulst	W.g. Van den hulst	W.G. van den Hulst	W.G. van dij Hulst
Wallis en Futuna	Wallis e Futuna	Walliss en Futuna	Walllis en Futuna	Wallisch en Futuna	Waljs en Futuna	Wallliss en Futuna
West Maas en Waal	Wesst Maas en waal	West Ma-as en waal	Westh Maas en waal	West Maas e waal	Waist Maas en waal	West Maasch en waal	Wescht Maas en waal	Wesd Maas en waal	Wijst Maas en waal	Wenst Maas en waal	West Maass en waal
West-Europees Bekken	West-Europees Bekke
West-Siberisch Laagland	
Westelijk Nieuw-Guinea	Westelijk Nieuw-Guinea
Westelijke Balkan	Westelijke Balkan	Westelijken Balkan
Westelijke Cordillera	Westelijke Cordillera	Westelijken Cordillera
Westelijke Dvina	Westelijke Dvina	Westelijken Dvina
Westelijke Grote Erg	Westijlijke Grote erg	Wijstelijke Grote erg	Westelijke Grote erg	Westelijtje Grote erg	Westellijke Grote erg	Westelijke Groten erg	Westenlijke Grote erg	Westelijken Grote erg	Wenstelijke Grote erg	Wesstelijke Grote erg	Westtelijke Grote erg	Westeli-jke Grote erg	Westhelijke Grote erg
Westelijke Jordaanoever	Westelijke Jordaanoever	Westelijken Jordaanoever
Westelijke Morava	Westelijke Morava	Westelijken Morava
Westelijke Sierra Madre	Westhelijke Sierra Madre	Westeli-jke Sierra Madre	Westtelijke Sierra Madre	Wesstelijke Sierra Madre	Wenstelijke Sierra Madre	Westenlijke Sierra Madre	Westelijken Sierra Madre	Westellijke Sierra Madre	Westelijtje Sierra Madre	Westelijke Sierra Madre	Wijstelijke Sierra Madre	Westijlijke Sierra Madre	Westelijkij Sierra Madre	Wesdelijke Sierra Madre
Wijk bij Duurstede	Wijk Bij duursteden	Wi-jk bij Duurstede	Wijk bij Duurstede	Weik bij Duurstede	Wijqu bij Duurstede	Wijcc bij Duurstede	Wijc bij Duurstede
Willem Aantjes	
Willem Barentsz	
Willem Drees	Willem Drés
Willem Elsschot	
Willem Frederik Hermans	Willenm Frederik Hermans	Willlem Frederik Hermans	Willijm Frederik Hermans	Willaim Frederik Hermans	Willem Frederic Hermans
Willem Janszoon Blaeu	Willenm Janszoon Blaeu	Willlem Janszoon Blaeu	Willijm Janszoon Blaeu	Willaim Janszoon Blaeu
Willem V	
Willem de Veroveraar	Willaim De veroveraar	Willem Dij veroveraar	Willijm De veroveraar	Willlem De veroveraar	Willem Den veroveraar	Willenm De veroveraar
Willem de Zwijger	Willenm de Zwijger	Willem den Zwijger	Willlem de Zwijger	Willem de Zwijger	Willijm de Zwijger	Willem dij Zwijger	Willaim de Zwijger
Willem van Oranje	Willaim Van oranje	Willijm Van oranje	Willlem Van oranje	Willenm Van oranje	Willenm van Oranje	Willlem van Oranje	Willijm van Oranje	Willaim van Oranje
William Shakespeare	
Wim Kan	
Wim Kok	
Windward Passage	Windward Passsage
Winston Churchill	
Witte Boekje	Witten Boekje
Witte Cris	Witte Kris	Witten Cris
Witte Drin	Witten Drin
Witte Karpaten	Witten Karpaten
Witte Nijl	Witten Nijl	Witte Nijl	Witte Neil
Witte Volta	Witten Volta
Witte Zee	Witten Zee	Witte Zeen
Wolfgang Amadeus Mozart	Wollfgang Amadeus Mozart	Wolfchang Amadeus Mozart	Wolfganch Amadeus Mozart	Wolfggeang Amadeus Mozart	Wolfgangge Amadeus Mozart	Weaulfgang Amadeus Mozart
Wolynisch-Podolisch Plateau	
Yasser Arafat	
Zee van Azov	Ze-e van Azov	Zene van Azov	Zeen van Azov	Zije van Azov	Zeij van Azov	Zé van Azov	Zë van Azov	Zaie van Azov	Zeai van Azov	Ssee van Azov
Zee van Halmahera	Ze-e van Halmahera	Zene van Halmahera	Zeen van Halmahera	Zije van Halmahera	Zeij van Halmahera	Zé van Halmahera	Zë van Halmahera	Zaie van Halmahera	Zeai van Halmahera	Ssee van Halmahera
Zee van Marmara	Ze-e van Marmara	Zene van Marmara	Zeen van Marmara	Zije van Marmara	Zeij van Marmara	Zé van Marmara	Zë van Marmara	Zaie van Marmara	Zeai van Marmara	Ssee van Marmara
Zee van Ochotsk	Ze-e van Ochotsk	Zene van Ochotsk	Zeen van Ochotsk	Zije van Ochotsk	Zeij van Ochotsk	Zé van Ochotsk	Zë van Ochotsk	Zaie van Ochotsk	Zeai van Ochotsk	Ssee van Ochotsk
Zuid-Australisch Bekken	Zuid-Australisch Bekke
Zuid-Chinees Bergland	
Zuid-Chinese Zee	Zuid-Chinees
Zuid-Equatoriale Rug	Zuid-Equatoriale
Zuid-Pacifisch Bekken	Zuid-Pacifisch Bekke
Zuid-Pacifische Drempel	
Zuid-Schots Bergland	
Zuidelijke IJszee	Zuidelijke IJszee	Zuidelijken IJszee
Zuidelijke Karpaten	Zuidelijke Karpaten	Zuidelijken Karpaten
Zuidelijke Oceaan	Zuidelijke Oceaan	Zuidelijken Oceaan
Zuidelijke Sierra Madre	Zuideli-jke Sierra Madre	Zu-idelijke Sierra Madre	Zuidenlijke Sierra Madre	Zuidelijken Sierra Madre	Zoeidelijke Sierra Madre	Zuidellijke Sierra Madre	Zuidelijtje Sierra Madre	Zuiddelijke Sierra Madre	Zuidelijke Sierra Madre	Zuidijlijke Sierra Madre	Zuidelijkij Sierra Madre	Zijidelijke Sierra Madre	Zuideleike Sierra Madre	Zeudelijke Sierra Madre	Zuidelijque Sierra Madre
Zwarte Cris	Zwarte Kris	Zwartte Cris	Zwarten Cris
Zwarte Drin	Zwartte Drin	Zwarten Drin
Zwarte Volta	Zwarten Volta	Zwartte Volta
Zwarte Woud	Zwarten Woud	Zwartte Woud	Zwarte Wout
Zwarte Zee	Zwarten Zee	Zwarte Zeen	Zwartte Zee
Zweeds Terrasland	Zwets Terrasland
Zwitserse Hoogvlakte	Zwitserse Hoogvlakten
de Caraïben	den Caraïben	dij Caraïben
de Falklandeilanden	den Falklandeilanden	dij Falklandeilanden	Falklandeilanden	Falklandeilander
de Gaulle	den Gaulle	dij Gaulle
de Here	de Heren	den Here	dij Here
de Kaap	dij Kaap	den Kaap
de Kaukasus	den Kaukasus	dij Kaukasus
des onheils	deskonheils
ditjes en datjes	ditjes e datjes	dithjes en datjes	ditjess en datjes	ditjens en datjes	dditjes en datjes	ditijes en datjes	ditjijs en datjes	didjes en datjes	ditjesch en datjes	ditës en datjes	ditjais en datjes
gebroeders Grimm	
hertog van Alva	herthog van Alva	henrtog van Alva	hërstog van Alva	hijrtog van Alva	hertoch van Alva	herdog van Alva	hairtog van Alva	hertogge van Alva	herteaug van Alva
het Bildt	
het Breezand	
huis van Oranje	heus Van oranje	huisch Van oranje	hijis Van oranje	hoeis Van oranje	huiss Van oranje	hu-is Van oranje	hu-is van Oranje	huiss van Oranje	hoeis van Oranje	hijis van Oranje	huisch van Oranje	heus van Oranje
huis van Oranje-Nassau	hu-is van Oranje-Nassau	huiss van Oranje-Nassau	hoeis van Oranje-Nassau	hijis van Oranje-Nassau	huisch van Oranje-Nassau	heus van Oranje-Nassau
huis van Saksen-Coburg	hu-is van Saksen-Coburg	huiss van Saksen-Coburg	hoeis van Saksen-Coburg	hijis van Saksen-Coburg	huisch van Saksen-Coburg	heus van Saksen-Coburg
in voege	in voegen
koning Arthur	
koning Willem I	
koning Willem II	konting Willem II	konings Willem II	koninch Willem II	quoning Willem II	cconing Willem II	koningge Willem II	koniging Willem II	keauning Willem II	coning Willem II
koningin Beatrix	
koningin Juliana	
koningin Wilhelmina	
om 's hemelswil	eaum 's hemelswil
pater Damiaan	
pater Eustachius	
praten als Brugman	prate als Brugman	prathen als Brugman	pratten als Brugman	pratenn als Brugman	pratijn als Brugman	praden als Brugman	pratain als Brugman	praten als Bruggeman	prathan als Brugman
prins Bernhard	prins Bernhart
prins Claus	
real time	real timen	realtime
tale Kanaäns	talen Kanaäns
zo waarlijk helpe mij God Almachtig	zo wa-arlijk helpe mij God Almachtig	zo waarli-jk helpe mij God Almachtig	zo waarlijk helpe mi-j God Almachtig	zo waarlijk henlpe mij God Almachtig	zo waarlijk helpen mij God Almachtig	zo waarllijk helpe mij God Almachtig	zo waarlijk hellpe mij God Almachtig	zo waarlijk helpe mij God Almachtig	zo waarlijk hijlpe mij God Almachtig	zo waarlijk helpij mij God Almachtig	sso waarlijk helpe mij God Almachtig	zo waarleik helpe mij God Almachtig	zo waarlijk helpe mei God Almachtig	zo waarlijqu helpe mij God Almachtig
